City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
213,Victoria,HK,2022-01-21 21:24:13,overcast clouds,22.2855,114.1577,66.18,88,100,15.28
214,Angoche,MZ,2022-01-21 21:27:43,light rain,-16.2325,39.9086,75.69,90,95,8.32
215,Saldanha,ZA,2022-01-21 21:27:43,clear sky,-33.0117,17.9442,71.65,71,0,9.08
216,Milovice,CZ,2022-01-21 21:27:44,few clouds,50.226,14.8886,33.66,81,13,13.87
217,Waipawa,NZ,2022-01-21 21:27:44,clear sky,-41.4122,175.5153,67.46,51,1,2.55
218,Kuzino,RU,2022-01-21 21:27:44,overcast clouds,57.0224,59.4412,0.61,100,97,3.22
219,Namatanai,PG,2022-01-21 21:23:11,overcast clouds,-3.6667,152.4333,80.76,79,100,3.58
220,Tuatapere,NZ,2022-01-21 21:27:44,scattered clouds,-46.1333,167.6833,57.81,71,46,5.23
221,Vao,NC,2022-01-21 21:27:45,overcast clouds,-22.6667,167.4833,78.28,87,99,12.86
222,Muchkapskiy,RU,2022-01-21 21:27:45,broken clouds,51.8513,42.4717,20.25,94,64,8.19
223,Naze,JP,2022-01-21 21:28:15,broken clouds,28.3667,129.4833,57.36,60,76,11.54
224,Santiago,CL,2022-01-21 21:28:15,clear sky,-33.4569,-70.6483,87.28,21,0,9.22
225,Awjilah,LY,2022-01-21 21:28:16,few clouds,29.1081,21.2869,52.57,47,21,2.21
226,San Cristobal,VE,2022-01-21 21:28:16,broken clouds,7.7669,-72.225,78.98,35,71,2.75
227,Mendoza,AR,2022-01-21 21:28:16,scattered clouds,-32.8908,-68.8272,87.33,45,40,10.36
228,Chernyshevskiy,RU,2022-01-21 21:28:16,broken clouds,63.0128,112.4714,-4.47,99,72,5.12
229,Seoul,KR,2022-01-21 21:23:20,broken clouds,37.5683,126.9778,24.24,73,75,1.14
230,Nacogdoches,US,2022-01-21 21:28:17,clear sky,31.6002,-94.6335,47.1,28,0,5.75
231,Marsh Harbour,BS,2022-01-21 21:28:17,scattered clouds,26.5412,-77.0636,77.0,77,47,10.11
232,Rorvik,NO,2022-01-21 21:28:17,broken clouds,64.8621,11.2373,28.51,100,75,13.8
233,Yar-Sale,RU,2022-01-21 21:28:18,broken clouds,66.8333,70.8333,4.44,96,84,12.35
234,Asau,RO,2022-01-21 21:28:18,scattered clouds,46.4333,26.4,27.95,58,36,7.76
235,Sao Joao Da Barra,BR,2022-01-21 21:28:18,few clouds,-21.6403,-41.0511,82.49,80,19,10.29
236,Sovetskiy,RU,2022-01-21 21:28:18,broken clouds,61.3614,63.5842,2.71,99,79,3.96
237,Aquiraz,BR,2022-01-21 21:28:19,scattered clouds,-3.9014,-38.3911,82.49,77,45,6.31
238,Novobirilyussy,RU,2022-01-21 21:28:19,overcast clouds,56.9514,90.6661,-5.85,100,97,3.24
239,Cherskiy,RU,2022-01-21 21:28:19,broken clouds,68.75,161.3,-49.18,100,80,4.07
240,Whitianga,NZ,2022-01-21 21:28:19,scattered clouds,-36.8333,175.7,69.53,63,37,7.27
241,Chara,RU,2022-01-21 21:28:20,broken clouds,56.9064,118.2631,-9.27,85,77,0.51
242,Kamaishi,JP,2022-01-21 21:28:20,few clouds,39.2667,141.8833,28.92,68,15,4.76
243,Manbij,SY,2022-01-21 21:26:08,overcast clouds,36.5281,37.9549,30.97,56,100,4.79
244,Hokitika,NZ,2022-01-21 21:28:20,clear sky,-42.7167,170.9667,64.09,67,0,3.13
245,Yuma,US,2022-01-21 21:27:28,clear sky,32.7253,-114.6244,73.89,19,0,9.22
246,Mehamn,NO,2022-01-21 21:28:20,few clouds,71.0357,27.8492,21.15,79,20,17.27
247,Pevek,RU,2022-01-21 21:28:21,scattered clouds,69.7008,170.3133,-36.29,99,47,4.59
